Sample.ID,country
1,US
2,US
3,US
4,US
5,US
6,US
7,US
8,US
9,US
10,US
11,US
12,US
13,US
14,US
15,US
16,US
17,US
18,US
19,US
20,US
21,US
22,US
23,US
24,US
25,US
26,US
27,US
28,US
29,US
30,US
31,US
32,US
33,US
34,US
35,US
36,US
37,US
38,US
39,US
40,US
41,US
42,US
43,US
44,US
45,US
46,US
47,US
48,US
49,US
50,US
51,US
52,US
53,US
54,US
55,US
56,US
57,US
58,US
59,US
60,US
61,US
62,US
63,US
64,US
65,US
66,US
67,US
68,US
69,US
70,US
71,US
72,US
73,US
74,US
75,US
76,US
77,US
78,US
79,US
80,US
81,US
82,US
83,US
84,US
85,US
86,US
87,US
88,US
89,US
90,US
91,US
92,US
93,US
94,US
95,US
96,US
97,US
98,US
99,US
100,US
101,US
102,US
103,US
104,US
105,US
106,US
107,US
108,US
109,US
110,US
111,US
112,US
113,US
114,US
115,US
116,US
117,US
118,US
119,US
120,US
121,US
122,US
123,US
124,US
125,US
126,US
127,US
128,US
129,US
130,US
131,US
132,US
133,US
134,US
135,US
136,US
137,US
138,US
139,US
140,US
141,US
142,US
143,US
144,US
145,US
146,US
147,US
148,US
149,US
150,US
151,US
152,US
153,US
154,US
155,US
156,US
157,US
158,US
159,US
160,US
161,US
162,US
163,US
164,US
165,US
166,US
167,US
168,US
169,US
170,US
171,US
172,US
173,US
174,US
175,US
176,US
177,US
178,US
179,US
180,US
181,US
182,US
183,US
184,US
185,US
186,US
187,US
188,US
189,US
190,US
191,US
192,US
193,US
194,US
195,US
196,US
197,US
198,US
199,US
200,US
201,US
202,US
203,US
204,US
205,US
206,US
207,US
208,US
209,US
210,US
211,US
212,US
213,US
214,US
215,US
216,US
217,US
218,US
219,US
220,US
221,US
222,US
223,US
224,US
225,US
226,US
227,US
228,US
229,US
230,US
231,US
232,US
233,US
234,US
235,US
236,US
237,US
238,US
239,US
240,US
241,US
242,US
243,US
244,US
245,US
246,US
247,US
248,US
249,US
250,US
251,US
252,US
253,US
254,US
255,US
256,US
257,US
258,US
259,US
260,US
261,US
262,US
263,US
264,US
265,US
266,US
267,US
268,US
269,US
270,US
271,US
272,US
273,US
274,US
275,US
276,US
277,US
278,US
279,US
280,US
281,US
282,US
283,US
284,US
285,US
286,US
287,US
288,US
289,US
290,US
291,US
292,US
293,US
294,US
295,US
296,US
297,US
298,US
299,US
300,US
301,US
302,US
303,US
304,US
305,US
306,US
307,US
308,US
309,US
310,US
311,US
312,US
313,US
314,US
315,US
316,US
317,US
318,VEN
319,VEN
320,VEN
321,VEN
322,VEN
323,VEN
324,VEN
325,VEN
326,VEN
327,VEN
328,VEN
329,VEN
330,VEN
331,VEN
332,VEN
333,VEN
334,VEN
335,VEN
336,VEN
337,VEN
338,VEN
339,VEN
340,VEN
341,VEN
342,VEN
343,VEN
344,VEN
345,VEN
346,VEN
347,VEN
348,VEN
349,VEN
350,VEN
351,VEN
352,VEN
353,VEN
354,VEN
355,VEN
356,VEN
357,VEN
358,VEN
359,VEN
360,VEN
361,VEN
362,VEN
363,VEN
364,VEN
365,VEN
366,VEN
367,VEN
368,VEN
369,VEN
370,VEN
371,VEN
372,VEN
373,VEN
374,VEN
375,VEN
376,VEN
377,VEN
378,VEN
379,VEN
380,VEN
381,VEN
382,VEN
383,VEN
384,VEN
385,VEN
386,VEN
387,VEN
388,VEN
389,VEN
390,VEN
391,VEN
392,VEN
393,VEN
394,VEN
395,VEN
396,VEN
397,VEN
398,VEN
399,VEN
400,VEN
401,VEN
402,VEN
403,VEN
404,VEN
405,VEN
406,VEN
407,VEN
408,VEN
409,VEN
410,VEN
411,VEN
412,VEN
413,VEN
414,VEN
415,VEN
416,VEN
417,MA
418,MA
419,MA
420,MA
421,MA
422,MA
423,MA
424,MA
425,MA
426,MA
427,MA
428,MA
429,MA
430,MA
431,MA
432,MA
433,MA
434,MA
435,MA
436,MA
437,MA
438,MA
439,MA
440,MA
441,MA
442,MA
443,MA
444,MA
445,MA
446,MA
447,MA
448,MA
449,MA
450,MA
451,MA
452,MA
453,MA
454,MA
455,MA
456,MA
457,MA
458,MA
459,MA
460,MA
461,MA
462,MA
463,MA
464,MA
465,MA
466,MA
467,MA
468,MA
469,MA
470,MA
471,MA
472,MA
473,MA
474,MA
475,MA
476,MA
477,MA
478,MA
479,MA
480,MA
481,MA
482,MA
483,MA
484,MA
485,MA
486,MA
487,MA
488,MA
489,MA
490,MA
491,MA
492,MA
493,MA
494,MA
495,MA
496,MA
497,MA
498,MA
499,MA
500,MA
501,MA
502,MA
503,MA
504,MA
505,MA
506,MA
507,MA
508,MA
509,MA
510,MA
511,MA
512,MA
513,MA
514,MA
515,MA
516,MA
517,MA
518,MA
519,MA
520,MA
521,MA
522,MA
523,MA
524,MA
525,MA
526,MA
527,MA
528,MA
529,MA
530,MA
