"","Sample.ID","p__mixed.g__","p__Firmicutes.g__Abiotrophia","p__Firmicutes.g__Acetivibrio","p__Proteobacteria.g__Achromobacter","p__Firmicutes.g__Acidaminococcus","p__Proteobacteria.g__Acidovorax","p__Proteobacteria.g__Acinetobacter","p__Proteobacteria.g__Actinobacillus","p__Actinobacteria.g__Actinomyces","p__Actinobacteria.g__Adlercreutzia","p__Firmicutes.g__Aerococcus","p__Proteobacteria.g__Aeromonas","p__Proteobacteria.g__Aggregatibacter","p__Proteobacteria.g__Agrobacterium","p__Verrucomicrobia.g__Akkermansia","p__Firmicutes.g__Alicyclobacillus","p__Proteobacteria.g__Alishewanella","p__Bacteroidetes.g__Alistipes","p__Proteobacteria.g__Alkalimonas","p__Tenericutes.g__Allobaculum","p__Actinobacteria.g__Alloscardovia","p__Firmicutes.g__Ammoniphilus","p__Firmicutes.g__Anaerobacillus","p__Firmicutes.g__Anaerococcus","p__Firmicutes.g__Anaerofustis","p__Firmicutes.g__Anaeroglobus","p__Firmicutes.g__Anaerostipes","p__Firmicutes.g__Anaerotruncus","p__Firmicutes.g__Anaerovorax","p__Firmicutes.g__Aneurinibacillus","p__Proteobacteria.g__Aquabacterium","p__Proteobacteria.g__Aquamonas","p__Proteobacteria.g__Aquitalea","p__Actinobacteria.g__Arcanobacterium","p__Actinobacteria.g__Arthrobacter","p__Tenericutes.g__Asteroleplasma","p__Actinobacteria.g__Atopobium","p__Proteobacteria.g__Averyella","p__Proteobacteria.g__Azohydromonas","p__Firmicutes.g__Bacillus","p__Bacteroidetes.g__Bacteroides","p__Proteobacteria.g__Balneimonas","p__Actinobacteria.g__Bifidobacterium","p__Proteobacteria.g__Bilophila","p__Firmicutes.g__Blautia","p__Actinobacteria.g__Brachybacterium","p__Proteobacteria.g__Brachymonas","p__Spirochaetes.g__Brachyspira","p__Proteobacteria.g__Bradyrhizobium","p__Proteobacteria.g__Brenneria","p__Firmicutes.g__Brevibacillus","p__Actinobacteria.g__Brevibacterium","p__Proteobacteria.g__Brevundimonas","p__Tenericutes.g__Bulleidia","p__Proteobacteria.g__Burkholderia","p__Proteobacteria.g__Buttiauxella","p__Firmicutes.g__Butyrivibrio","p__Firmicutes.g__Caloramator","p__Proteobacteria.g__Campylobacter","p__Bacteroidetes.g__Candidatus.Azobacteroides","p__Proteobacteria.g__Cardiobacterium","p__Firmicutes.g__Carnobacterium","p__Tenericutes.g__Catenibacterium","p__Fusobacteria.g__Cetobacterium","p__Proteobacteria.g__Chromobacterium","p__Proteobacteria.g__Citrobacter","p__Firmicutes.g__Clostridium","p__Proteobacteria.g__Collimonas","p__Actinobacteria.g__Collinsella","p__Proteobacteria.g__Comamonas","p__Proteobacteria.g__Congregibacter","p__Tenericutes.g__Coprobacillus","p__Firmicutes.g__Coprococcus","p__Actinobacteria.g__Corynebacterium","p__Proteobacteria.g__Crenothrix","p__Proteobacteria.g__Cronobacter","p__Proteobacteria.g__Cupriavidus","p__Actinobacteria.g__Curtobacterium","p__Bacteroidetes.g__Cyclobacterium","p__Firmicutes.g__Dehalobacterium","p__Proteobacteria.g__Delftia","p__Actinobacteria.g__Dermacoccus","p__Actinobacteria.g__Dermatophilus","p__Firmicutes.g__Desulfitobacterium","p__Proteobacteria.g__Desulfococcus","p__Proteobacteria.g__Desulfomicrobium","p__Firmicutes.g__Desulfosporosinus","p__Proteobacteria.g__Desulfovibrio","p__Proteobacteria.g__Devosia","p__Firmicutes.g__Dialister","p__Actinobacteria.g__Dietzia","p__Firmicutes.g__Dorea","p__Bacteroidetes.g__Dyadobacter","p__Bacteroidetes.g__Dysgonomonas","p__Proteobacteria.g__Edwardsiella","p__Actinobacteria.g__Eggerthella","p__Proteobacteria.g__Eikenella","p__Proteobacteria.g__Enterobacter","p__Firmicutes.g__Enterococcus","p__Firmicutes.g__Epulopiscium","p__Proteobacteria.g__Erwinia","p__Proteobacteria.g__Escherichia","p__Firmicutes.g__Eubacterium","p__Proteobacteria.g__Ewingella","p__Firmicutes.g__Exiguobacterium","p__Firmicutes.g__Facklamia","p__Firmicutes.g__Faecalibacterium","p__Firmicutes.g__Finegoldia","p__Bacteroidetes.g__Flavisolibacter","p__Proteobacteria.g__Flexispira","p__Firmicutes.g__Fructobacillus","p__Fusobacteria.g__Fusobacterium","p__Proteobacteria.g__Gallibacterium","p__Proteobacteria.g__Gallionella","p__Actinobacteria.g__Gardnerella","p__Firmicutes.g__Gemella","p__Firmicutes.g__Geobacillus","p__Actinobacteria.g__Geodermatophilus","p__Actinobacteria.g__Gordonia","p__Firmicutes.g__Granulicatella","p__Proteobacteria.g__Haemophilus","p__Firmicutes.g__Halobacillus","p__Proteobacteria.g__Helicobacter","p__Proteobacteria.g__Herbaspirillum","p__Proteobacteria.g__Histophilus","p__Tenericutes.g__Holdemania","p__Proteobacteria.g__Hylemonella","p__Bacteroidetes.g__Hymenobacter","p__Proteobacteria.g__Ideonella","p__Fusobacteria.g__J2.29","p__Proteobacteria.g__Janthinobacterium","p__Proteobacteria.g__Kaistobacter","p__Proteobacteria.g__Kangiella","p__Proteobacteria.g__Kingella","p__Proteobacteria.g__Klebsiella","p__Actinobacteria.g__Kocuria","p__Firmicutes.g__Kurthia","p__Actinobacteria.g__Kytococcus","p__Firmicutes.g__Lachnobacterium","p__Firmicutes.g__Lachnospira","p__Firmicutes.g__Lactobacillus","p__Firmicutes.g__Lactococcus","p__Proteobacteria.g__Lautropia","p__Proteobacteria.g__Leclercia","p__Firmicutes.g__Lentibacillus","p__Proteobacteria.g__Leptothrix","p__Fusobacteria.g__Leptotrichia","p__Firmicutes.g__Leuconostoc","p__Proteobacteria.g__Limnobacter","p__Proteobacteria.g__Limnohabitans","p__Firmicutes.g__Listeria","p__Firmicutes.g__Lysinibacillus","p__Proteobacteria.g__Lysobacter","p__Firmicutes.g__Macrococcus","p__Proteobacteria.g__Mannheimia","p__Proteobacteria.g__Massilia","p__Firmicutes.g__Megamonas","p__Firmicutes.g__Megasphaera","p__Firmicutes.g__Melissococcus","p__Euryarchaeota.g__Methanobrevibacter","p__Euryarchaeota.g__Methanosphaera","p__Proteobacteria.g__Methylibium","p__Proteobacteria.g__Methylobacillus","p__Proteobacteria.g__Methylobacterium","p__Proteobacteria.g__Methylophaga","p__Proteobacteria.g__Methylotenera","p__Proteobacteria.g__Methyloversatilis","p__Actinobacteria.g__Micrococcus","p__Actinobacteria.g__Micromonospora","p__Firmicutes.g__Mitsuokella","p__Actinobacteria.g__Mobiluncus","p__Firmicutes.g__Mogibacterium","p__Proteobacteria.g__Morganella","p__Firmicutes.g__Moryella","p__Actinobacteria.g__Mycobacterium","p__Firmicutes.g__Natronobacillus","p__Proteobacteria.g__Neisseria","p__Actinobacteria.g__Nesterenkonia","p__Proteobacteria.g__Nitrosomonas","p__Proteobacteria.g__Novosphingobium","p__Proteobacteria.g__Oceanimonas","p__Firmicutes.g__Oceanobacillus","p__Bacteroidetes.g__Odoribacter","p__Actinobacteria.g__Olsenella","p__Firmicutes.g__Oribacterium","p__Firmicutes.g__Oscillospira","p__Proteobacteria.g__Oxalobacter","p__Tenericutes.g__p.75.a5","p__Firmicutes.g__Paenibacillus","p__Bacteroidetes.g__Paludibacter","p__Proteobacteria.g__Pandoraea","p__Proteobacteria.g__Pantoea","p__Bacteroidetes.g__Parabacteroides","p__Proteobacteria.g__Paracoccus","p__Actinobacteria.g__Parascardovia","p__Proteobacteria.g__Pasteurella","p__Proteobacteria.g__Paucibacter","p__Firmicutes.g__Pediococcus","p__Bacteroidetes.g__Pedobacter","p__Firmicutes.g__Pelotomaculum","p__Firmicutes.g__Peptococcus","p__Firmicutes.g__Peptoniphilus","p__Firmicutes.g__Peptostreptococcus","p__Firmicutes.g__Phascolarctobacterium","p__Proteobacteria.g__Phenylobacterium","p__Proteobacteria.g__Plesiomonas","p__Proteobacteria.g__Polaromonas","p__Firmicutes.g__Pontibacillus","p__Bacteroidetes.g__Porphyromonas","p__Bacteroidetes.g__Prevotella","p__Proteobacteria.g__Proteus","p__Proteobacteria.g__Providencia","p__Proteobacteria.g__Pseudoalteromonas","p__Firmicutes.g__Pseudobutyrivibrio","p__Actinobacteria.g__Pseudoclavibacter","p__Proteobacteria.g__Pseudomonas","p__Actinobacteria.g__Pseudonocardia","p__Synergistetes.g__Pyramidobacter","p__Proteobacteria.g__Rahnella","p__Proteobacteria.g__Ralstonia","p__Proteobacteria.g__Ramlibacter","p__Proteobacteria.g__Raoultella","p__Actinobacteria.g__Renibacterium","p__Tenericutes.g__RFN20","p__Proteobacteria.g__Rhizobium","p__Actinobacteria.g__Rhodococcus","p__Proteobacteria.g__Rhodocyclus","p__Proteobacteria.g__Rhodoplanes","p__Firmicutes.g__Roseburia","p__Actinobacteria.g__Rothia","p__Proteobacteria.g__Rubrivivax","p__Actinobacteria.g__Rubrobacter","p__Firmicutes.g__Ruminococcus","p__Firmicutes.g__Rummeliibacillus","p__Actinobacteria.g__Saccharopolyspora","p__Firmicutes.g__Salinicoccus","p__Proteobacteria.g__Salinivibrio","p__Firmicutes.g__Sarcina","p__Actinobacteria.g__Scardovia","p__Proteobacteria.g__Schlegelella","p__Firmicutes.g__Selenomonas","p__Actinobacteria.g__Serinicoccus","p__Proteobacteria.g__Serratia","p__Tenericutes.g__Sharpea","p__Proteobacteria.g__Shewanella","p__Firmicutes.g__Shuttleworthia","p__Actinobacteria.g__Slackia","p__Fusobacteria.g__Sneathia","p__Proteobacteria.g__Sodalis","p__Proteobacteria.g__Sphaerotilus","p__Bacteroidetes.g__Sphingobacterium","p__Proteobacteria.g__Sphingomonas","p__Firmicutes.g__Sporanaerobacter","p__Firmicutes.g__Sporosarcina","p__Firmicutes.g__Staphylococcus","p__Proteobacteria.g__Stenotrophomonas","p__Fusobacteria.g__Streptobacillus","p__Firmicutes.g__Streptococcus","p__Actinobacteria.g__Streptomyces","p__Firmicutes.g__Subdoligranulum","p__Proteobacteria.g__Succinivibrio","p__Proteobacteria.g__Sutterella","p__Bacteroidetes.g__Tannerella","p__Proteobacteria.g__Tepidimonas","p__Firmicutes.g__Terribacillus","p__Firmicutes.g__Tetragenococcus","p__Firmicutes.g__Thalassobacillus","p__Proteobacteria.g__Thauera","p__Proteobacteria.g__Thiomonas","p__Proteobacteria.g__Thiothrix","p__Firmicutes.g__Tissierella","p__Proteobacteria.g__Tolumonas","p__Proteobacteria.g__Trabulsiella","p__Spirochaetes.g__Treponema","p__Firmicutes.g__Trichococcus","p__Firmicutes.g__Turicibacter","p__Tenericutes.g__Ureaplasma","p__Firmicutes.g__Ureibacillus","p__Firmicutes.g__Vagococcus","p__Actinobacteria.g__Varibaculum","p__Firmicutes.g__Veillonella","p__Proteobacteria.g__Vibrio","p__Firmicutes.g__Virgibacillus","p__Proteobacteria.g__Vogesella","p__Proteobacteria.g__Volucribacter","p__Firmicutes.g__Weissella","p__Proteobacteria.g__Xenorhabdus","p__Proteobacteria.g__Yersinia"
"1",1,907218,5,16,1,1,2,5,23,71,238,1,1,1,1,50110,NA,1,63035,1,4,1,NA,1,23,10,NA,68,83,5,NA,1,1,1,1,1,NA,25,1,1,1,260555,NA,14607,126,19502,NA,1,NA,1,NA,1,NA,1,15,1,1,13,1,106,1,1,1,4,1,NA,1,54462,NA,41,1,1,244,28721,3,NA,1,1,NA,3,797,1,NA,NA,5,NA,1,1,5994,NA,34544,NA,1079,1,11,4,1,NA,1,15,12,3,4,155751,NA,NA,2,268369,2,NA,NA,1,9,1,1,15,13,NA,NA,NA,22,11,1,NA,4,NA,563,2,1,1,1,1,NA,NA,NA,38,1,NA,1,127,39037,12,1,1,1,1,1,1,1,1,2,1,NA,1,NA,NA,1,1,9,1,3071,NA,2,1,1,1,NA,1,NA,NA,3,14,1,1,6,NA,NA,1,1,1,1,1,NA,3636,1,188,92986,923,NA,1,1,1,1,38059,NA,1,NA,1,1,1,1,10,53,13,2,1,1,1,NA,18,51,1,14,NA,1,NA,3,NA,1,1,1,2,1,1,1,1,NA,1,NA,2150,4,1,NA,182154,NA,NA,1,NA,2,1,1,1,1,459,NA,1,1,154,1,NA,1,10,1,1,1,3,1,NA,1150,NA,3,1,2468,1,1,1,1,NA,3,12,1,1,NA,1,NA,1,1107,NA,NA,1,104,55,NA,NA,2,NA,1,1,1
"2",2,373674,2,1,1,1,1,2,2,44,491,1,1,1,1,2053,NA,1,26975,1,1,2,NA,1,9,8,NA,167,165,5,NA,1,1,1,1,1,NA,1,1,1,1,626611,NA,10150,6645,14187,NA,1,NA,1,NA,1,NA,1,14,1,1,37,1,7,1,1,4,3,1,NA,2,95173,NA,1087,1,1,447,9849,13,NA,1,1,NA,1,13,1,NA,NA,3,NA,4,1,11725,NA,22,NA,3242,1,7,1,454,NA,1,17,1,7,4,13213,NA,NA,1,190611,3,NA,NA,1,20,1,1,12,3,NA,NA,NA,13,1,1,NA,1,NA,1241,1,1,1,1,1,NA,NA,NA,72,1,NA,1,14619,38880,23,1,1,1,1,1,1,14,1,1,1,NA,1,NA,NA,1,3,11,1,1,NA,1,1,1,1,NA,1,NA,NA,2,1,1,3,4,NA,NA,1,1,3,1,1,NA,1521,1,10,11526,487,NA,1,1,1,1,39916,NA,1,NA,1,1,1,1,1,32,2,20641,1,1,1,NA,7,16734,1,6,NA,1,NA,5,NA,1,1,8,2,1,1,1,1,NA,1,NA,247141,20,1,NA,80065,NA,NA,1,NA,3,2,4,1,1,348,NA,1,1,1,1,NA,1,10,1,1,1,9,1,NA,1658,NA,2,1,59,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,199,NA,NA,1,1,20,NA,NA,1,NA,1,1,1
"3",3,1131234,1,8,1,3,1,1,1,157,3257,1,1,1,1,22990,NA,1,61323,1,1,17,NA,1,11,33,NA,49,146,1,NA,1,1,1,2,1,NA,17,1,1,1,112433,NA,9891,2,88441,NA,1,NA,1,NA,1,NA,1,6,1,1,81,1,1,1,1,3,5,1,NA,1,219023,NA,2712,1,1,411,41032,1,NA,1,1,NA,1,62,1,NA,NA,7,NA,1,1,23,NA,73,NA,11305,2,11,2,1754,NA,1,27,15,5,1,147595,NA,NA,1,95328,16,NA,NA,1,1,1,1,7,17,NA,NA,NA,45,2,1,NA,1,NA,974,1,1,1,1,1,NA,NA,NA,126,1,NA,1,32040,1969,48,1,1,1,1,1,1,19,1,1,1,NA,1,NA,NA,1,1,16,1,5,NA,1,1,1,1,NA,1,NA,NA,2,1,1,4,3,NA,NA,1,1,1,1,1,NA,566,1,27,19864,2,NA,1,1,1,1,12775,NA,1,NA,1,1,1,1,1,20,6,7,1,1,1,NA,26,3540,1,7,NA,1,NA,6,NA,1,1,4,1,1,1,1,6,NA,1,NA,7707,140,1,NA,322552,NA,NA,1,NA,35,1,1,1,1,65,NA,1,9,1,38,NA,1,6,1,2,1,5,1,NA,5385,NA,49,1,79,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,2751,NA,NA,5,21,64,NA,NA,1,NA,1,2,6
"4",4,991907,1,7,1,2,1,1,18,116,2324,1,1,1,4,8748,NA,1,52495,1,1,3,NA,1,14,22,NA,350,3399,1,NA,1,1,1,1,1,NA,6,1,1,3,244561,NA,4019,54,59959,NA,1,NA,1,NA,1,NA,1,9,1,1,64,1,1,2,1,1,10,1,NA,1,198500,NA,1223,1,1,395,52230,81,NA,1,1,NA,1,184,1,NA,NA,9,NA,2,1,1447,NA,659,NA,14611,1,11,4,160,NA,1,29,16,3,4,20443,NA,NA,1,140447,1,NA,NA,1,1,1,1,6,6,NA,NA,NA,8,8,1,NA,1,NA,707,1,1,1,1,1,NA,NA,NA,59,1,NA,1,3825,48799,93,6,1,1,1,1,1,72,1,1,1,NA,1,NA,NA,1,1,24,1,1685,NA,1,1,2,1,NA,2,NA,NA,3,1,1,10,7,NA,NA,1,1,2,1,1,NA,3205,1,50,61746,1,NA,1,1,1,1,49324,NA,1,NA,1,1,1,1,1,7,3,19681,1,1,1,NA,2,87061,1,15,NA,1,NA,35,NA,1,1,4,1,1,1,1,2,NA,1,NA,167609,136,1,NA,190107,NA,NA,1,NA,8,18,7,1,1,534,NA,1,5,1,5,NA,1,4,1,1,1,14,1,NA,23797,NA,17,1,76,2,1,1,1,NA,1,2,1,1,NA,1,NA,1,7735,NA,NA,5,43,67,NA,NA,1,NA,2,1,1
"5",5,1231018,1,1,1,1,1,5,3890,150,2020,1,1,1,1,51854,NA,1,119447,1,1,1,NA,1,17,10,NA,93,878,7,NA,1,1,1,1,1,NA,2,1,1,4,198181,NA,12760,27,27047,NA,1,NA,1,NA,1,NA,1,8,1,1,48,1,4,1,1,1,4,1,NA,1,83871,NA,4693,1,1,192,68255,46,NA,1,1,NA,2,1,1,NA,NA,4,NA,1,1,5233,NA,23746,NA,4087,1,18,2,75,NA,1,31,12,10,16,14232,NA,NA,8,80925,11,NA,NA,1,5,21,1,1,3,NA,NA,NA,12,1115,1,NA,1,NA,394,1,1,1,1,1,NA,NA,NA,107,1,NA,1,7942,23121,56,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,18,1,845,NA,1,1,1,1,NA,3,NA,NA,2,3,9,7,4,NA,NA,1,1,4,1,1,NA,4427,1,15,114481,3,NA,1,1,1,3,26831,NA,1,NA,1,1,2,1,1,3,1,52,1,1,1,NA,18,318,1,10,NA,1,NA,22,NA,1,1,7,1,1,1,1,2,NA,1,NA,136935,12,1,NA,115132,NA,NA,2,NA,6,2,1,1,1,895,NA,1,5,11,1,NA,1,4,1,1,1,3,1,NA,2032,NA,8,1,56,1,1,2,1,NA,1,1,1,1,NA,1,NA,1,8243,NA,NA,6,1,514,NA,NA,1,NA,4,1,1
"6",6,600207,1,6,1,1,1,15,4597,426,3312,1,1,1,1,178,NA,1,48216,1,1,1,NA,1,165,16,NA,30,547,9,NA,1,1,1,1,1,NA,1,1,1,1,436556,NA,51634,3452,23633,NA,1,NA,1,NA,1,NA,1,91,1,1,42,1,54,2,1,3,8,1,NA,1,126027,NA,10378,1,1,479,20921,101,NA,1,1,NA,4,1,1,NA,NA,3,NA,1,1,114,NA,333,NA,8853,2,1,3,162,NA,1,20,6,9,7,5206,NA,NA,1,348171,29,NA,NA,1,1,22,1,1,1,NA,NA,NA,115,1187,1,NA,1,NA,1501,1,1,1,1,1,NA,NA,NA,135,1,NA,1,1037,40917,119,2,3,1,1,1,1,5,1,1,1,NA,1,NA,NA,1,1,15,1,1,NA,1,1,1,1,NA,4,NA,NA,1,1,18,1,4,NA,NA,1,1,5,1,1,NA,5459,1,12,48545,8,NA,1,1,1,4,26947,NA,1,NA,1,1,1,1,10,153,86,10379,1,1,1,NA,118,284,1,6,NA,1,NA,18,NA,1,1,32,1,16,1,1,1,NA,1,NA,74263,75,1,NA,166386,NA,NA,1,NA,7,1,15,1,1,643,NA,1,1,1,1,NA,1,6,1,1,1,1,1,NA,12806,NA,8,1,315,1,2,1,1,NA,1,1,1,1,NA,1,NA,1,7034,NA,NA,5,405,2040,NA,NA,1,NA,1,1,1
"7",7,752265,1,5,1,1,2,1,188,114,336,2,1,1,1,60888,NA,1,30710,1,1,1,NA,4,8,124,NA,167,503,1,NA,1,1,1,1,2,NA,1,1,1,10,464770,NA,28838,5126,62794,NA,1,NA,1,NA,1,NA,1,2,18,1,62,1,1,1,1,68,10,1,NA,12,220618,NA,3141,1,1,338,30127,11,NA,1,1,NA,1,339,1,NA,NA,5,NA,1,1,239,NA,35,NA,12391,1,1,2,610,NA,1,15280,10,65,4,28208,NA,NA,4,192211,1,NA,NA,1,1,1,20,1,66,NA,NA,NA,91,47,1,NA,1,NA,1074,1,1,1,1,1,NA,NA,NA,1706,1,NA,1,4194,53543,359,37,1,2,1,1,1,64,2,1,1,NA,1,NA,NA,1,2,81,22,446,NA,1,1,1,1,NA,46,NA,NA,5,1,1,5,6,NA,NA,1,1,3,1,1,NA,28,1,33,49600,133,NA,1,1,1,24,27175,NA,1,NA,1,1,1,1,1,1,1,18667,1,1,1,NA,1,87,1,18,NA,1,NA,28,NA,1,1,3,13,1,1,1,16,NA,5,NA,270507,123,1,NA,174949,NA,NA,1,NA,11,1,173,1,1,621,NA,1,5,1,1,NA,1,7,1,1,1,19,1,NA,7128,NA,19,1,29268,1,1,1,8,NA,6,4,1,1,NA,1,NA,5,159,NA,NA,1213,1,198,NA,NA,1,NA,1,1,1
"8",8,629793,1,2,1,1,2,4,152,173,214,1,1,1,1,7,NA,1,15425,1,1,1,NA,1,46,23,NA,160,47,3,NA,1,2,1,1,1,NA,7,1,1,3,191940,NA,14065,782,21369,NA,1,NA,1,NA,1,NA,1,12,1,1,2,1,2,1,1,1,3,1,NA,1,90314,NA,820,1,1,27,56894,5,NA,1,1,NA,1,319,1,NA,NA,3,NA,1,1,10815,NA,118,NA,3959,1,2,1,5,NA,1,12,1,3,1,13227,NA,NA,1,234661,1,NA,NA,1,1,1,1,1,3,NA,NA,NA,26,26,1,NA,1,NA,343,1,1,1,1,1,NA,NA,NA,61,1,NA,1,1133,34463,9,3,1,1,1,1,1,2,1,1,1,NA,1,NA,NA,1,1,10,1,1,NA,1,1,1,1,NA,1,NA,NA,1,1,4,1,24,NA,NA,1,1,1,1,1,NA,1649,1,24,31011,1217,NA,1,1,1,2,7236,NA,1,NA,1,1,1,1,17,111,11,8157,1,1,1,NA,36,64,1,2,NA,1,NA,1,NA,1,1,1,95,1,1,1,1,NA,1,NA,61147,10,1,NA,149441,NA,NA,1,NA,1,1,1,1,1,103,NA,1,1,147,1,NA,4,1,1,1,1,1,1,NA,2402,NA,2,1,6202,1,1,1,1,NA,1,40,1,1,NA,1,NA,1,302,NA,NA,1,6,37,NA,NA,1,NA,1,1,1
"9",9,667451,1,1,1,1,1,1,35,754,1511,1,1,1,1,69,NA,1,4471,1,1,1,NA,1,109,100,NA,68,31,2,NA,1,1,1,2,1,NA,82,1,1,4,8256,NA,67095,126,61247,NA,1,NA,1,NA,1,NA,1,29,1,1,9,1,1,1,1,1,6,1,NA,1,137093,NA,8793,1,1,758,23819,31,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,1,448,NA,30473,NA,10547,1,1,2,31,NA,1,9,2,6,6,928,NA,NA,2,139854,32,NA,NA,1,3,1,1,15,54,NA,NA,NA,42,10,1,NA,1,NA,158,1,1,1,1,1,NA,NA,NA,81,1,NA,1,27481,6960,25,1,1,1,1,1,1,232,1,1,1,NA,1,NA,NA,1,1,5,1,1,NA,1,1,1,1,NA,1,NA,NA,3,5,24,4,2,NA,NA,1,1,1,1,1,NA,124,1,40,1353,1,NA,1,1,1,1,792,NA,1,NA,1,5,1,1,9,183,72,20,1,1,1,NA,3,610,1,2,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,49749,177,1,NA,218867,NA,NA,1,NA,7,1,1,1,1,651,NA,1,3,1,1,NA,1,1,1,1,1,2,1,NA,13293,NA,4,1,315,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,4440,NA,NA,1,72,144,NA,NA,1,NA,2,1,1
"10",10,521436,1,1,1,156,1,1,341,171,2014,1,1,1,1,7724,NA,1,29053,1,1,1,NA,1,7,4,NA,77,45,3,NA,1,1,1,1,1,NA,25,1,1,2,62553,NA,37196,137,9997,NA,1,NA,1,NA,1,NA,1,16,6,1,13,1,27,1,1,1,5,1,NA,1,95593,NA,1262,1,1,322,21154,8,NA,1,1,NA,1,132,1,NA,NA,1,NA,1,1,1229,NA,77546,NA,4687,1,2,1,3,NA,1,6,1,4,1,324,NA,NA,1,329570,6,NA,NA,1,191,1,1,1,12,NA,NA,NA,30,58,1,NA,1,NA,477,1,1,1,1,1,NA,NA,NA,50,1,NA,1,1250,43716,188,1,2,1,1,1,1,2,1,1,1,NA,1,NA,NA,1,1,207,1,1,NA,1,1,1,1,NA,12,NA,NA,4,3,14,2,2,NA,NA,1,1,2,1,1,NA,2097,1,10,23826,284,NA,1,1,1,1,11895,NA,1,NA,1,1,1,1,2,18,1,7,1,1,1,NA,3,211051,1,5,NA,1,NA,2,NA,1,1,1,19,1,1,1,1,NA,2,NA,102254,21,1,NA,147891,NA,NA,1,NA,15,6,21,3,1,13,NA,1,1,188,1,NA,1,3,1,1,1,1,1,NA,4804,NA,3,1,10626,1,1,1,1,NA,1,15,1,1,NA,1,NA,1,740,NA,NA,1,4,747,NA,NA,1,NA,1,1,1
